item_name,總數量(販賣),總數量(收購),販賣最低價,販賣最高價,販賣加權平均價,收購最低價,收購最高價,收購加權平均價
大嘴鳥卡片,122,0.0,10000,33000,20081,0,0,0
神之金屬,1898,1197.0,11444,59999,21709,3500,8600,8155
神之金屬原石,437,1263.0,2454,2499,2462,1,1700,950
鋁,5292,877.0,20182,49999,22553,5000,19000,16868
鋁原石,2495,2090.0,3998,23000,9732,1,3700,2748
